City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Benjamin Hill,MX,30.1667,-111.1,80.89,11,33,9.8,scattered clouds
1,Shelburne,CA,44.0787,-80.2041,36.75,90,100,5.88,overcast clouds
2,Clinton,US,42.587,-82.9199,43.95,86,75,6.91,broken clouds
3,Progreso,MX,21.2833,-89.6667,75.31,51,22,17.56,few clouds
4,Saint George,US,37.1041,-113.5841,81.19,12,0,3.44,clear sky
5,Kerrville,US,30.0474,-99.1403,63.55,19,0,3.44,clear sky
6,Sonoita,MX,31.85,-112.8333,86.14,6,0,4.92,clear sky
7,Henderson,US,36.0397,-114.9819,87.24,14,0,4.61,clear sky
8,Baie-Comeau,CA,49.2168,-68.1489,33.48,100,100,19.57,snow
9,Hurricane,US,37.1753,-113.2899,79.27,19,9,1.48,clear sky
10,Taos,US,36.4072,-105.5731,55.8,20,0,11.5,clear sky
11,Fallon,US,39.4735,-118.7774,73.27,16,75,17.27,broken clouds
12,Kincardine,GB,56.0667,-3.7167,38.91,75,64,6.11,broken clouds
13,Pierre,US,44.3683,-100.351,45.52,46,0,8.01,clear sky
14,Clarksburg,US,39.2807,-80.3445,41.9,89,100,8.05,overcast clouds
15,Brandon,US,27.9378,-82.2859,68.11,67,0,5.01,clear sky
16,Pinawa,CA,50.1489,-95.8811,27.66,94,13,2.48,few clouds
17,Altamont,US,42.2068,-121.7372,49.84,44,0,16.11,clear sky
18,Vidalia,US,32.2177,-82.4135,60.75,39,100,10.36,overcast clouds
19,Saint John,CA,45.2727,-66.0677,45.63,96,100,8.05,mist
20,Crawfordsville,US,40.0411,-86.8745,38.32,96,100,13.91,overcast clouds
21,Great Bend,US,38.3645,-98.7648,48.61,33,0,4.61,clear sky
22,Monroe,US,43.1501,-77.6831,42.96,82,40,1.99,scattered clouds
23,Polson,US,47.6936,-114.1632,49.21,57,100,5.01,overcast clouds
24,Halifax,CA,44.6453,-63.5724,48.09,98,100,20.71,overcast clouds
25,Spearfish,US,44.4908,-103.8594,50.09,39,0,8.05,clear sky
26,Groton,US,41.3501,-72.0784,50.76,74,0,3.0,clear sky
27,Hamilton,US,39.1834,-84.5333,42.24,77,75,12.66,broken clouds
28,El Reno,US,35.5323,-97.955,53.33,32,0,5.75,clear sky
29,Crestview,US,30.7621,-86.5705,61.84,44,0,14.97,clear sky
30,Monmouth,US,40.3001,-74.1663,55.8,58,20,4.61,few clouds
31,Cedar City,US,37.6775,-113.0619,63.57,17,0,13.8,clear sky
32,Vernon,CA,50.2581,-119.2691,51.33,33,8,8.05,clear sky
33,Muskogee,US,35.5834,-95.3336,50.07,34,0,4.61,clear sky
34,Barstow,US,34.8986,-117.0228,86.99,9,7,1.77,clear sky
35,Aiken,US,33.5835,-81.5998,55.06,52,100,14.97,overcast clouds
36,Port Hawkesbury,CA,45.6169,-61.3485,39.58,98,100,17.27,mist
37,Piney Green,US,34.716,-77.3202,62.91,49,0,5.75,clear sky
38,El Dorado,US,38.7666,-120.5177,73.26,40,97,3.0,overcast clouds
39,Idaho Falls,US,43.4666,-112.0341,66.29,18,0,11.5,clear sky
40,Liverpool,GB,53.4106,-2.9779,42.1,78,20,10.36,few clouds
41,Defiance,US,41.3334,-84.45,42.78,70,100,9.22,overcast clouds
42,Marysville,US,48.0518,-122.1771,49.01,78,40,13.0,scattered clouds
43,Fairmont,US,39.4851,-80.1426,43.97,91,100,1.01,overcast clouds
44,Bowling Green,US,36.9903,-86.4436,39.94,84,100,6.91,light rain
45,Alpena,US,45.0617,-83.4327,33.19,95,100,4.61,mist
46,Brigantine,US,39.4101,-74.3646,52.05,80,40,6.91,scattered clouds
47,Meridian,US,43.6121,-116.3915,62.71,46,75,24.16,broken clouds
48,Shaunavon,CA,49.6501,-108.4181,53.38,44,100,8.61,overcast clouds
49,Sterling,US,39.0062,-77.4286,51.15,84,75,10.36,broken clouds
50,Brownwood,US,31.7093,-98.9912,61.92,30,100,0.0,overcast clouds
51,Ensenada,MX,31.8667,-116.6167,75.51,35,81,2.15,broken clouds
52,Alberton,CA,46.8168,-64.0654,44.73,92,100,22.62,overcast clouds
53,Cloquet,US,46.7216,-92.4594,36.28,47,0,9.22,clear sky
54,Craig,US,40.5153,-107.5464,56.82,40,0,9.22,clear sky
55,Emmett,US,43.8735,-116.4993,63.63,67,85,18.12,overcast clouds
56,Mount Vernon,US,40.9126,-73.8371,56.01,64,20,6.91,few clouds
57,Mattawa,US,46.7379,-119.9028,51.8,38,7,18.9,clear sky
58,Huntsville,US,34.7304,-86.5861,45.55,64,100,6.91,overcast clouds
59,Weatherford,US,32.7593,-97.7972,56.28,40,0,4.83,clear sky
60,Virginia Beach,US,36.8529,-75.978,53.65,90,40,0.0,scattered clouds
61,La Tuque,CA,47.4334,-72.7824,35.85,93,100,4.61,overcast clouds
62,Carson City,US,39.1638,-119.7674,70.63,23,0,10.36,clear sky
63,Deep River,CA,46.1001,-77.4995,39.94,89,100,3.06,overcast clouds
64,Livingston,GB,55.9029,-3.5226,37.2,72,0,6.91,clear sky
65,Hope,US,33.6671,-93.5916,57.25,64,5,4.47,clear sky
66,Ruston,US,32.5232,-92.6379,51.62,46,0,0.0,clear sky
67,Baker City,US,44.7749,-117.8344,44.31,53,75,24.16,broken clouds
68,Del Rio,US,29.3627,-100.8968,75.31,15,0,3.44,clear sky
69,Marshalltown,US,42.0494,-92.908,39.24,64,20,11.5,few clouds
70,Atlantic Beach,US,30.3344,-81.3987,63.07,51,0,11.5,clear sky
71,Dothan,US,31.2232,-85.3905,55.69,46,40,18.41,scattered clouds
72,Stillwater,US,36.1156,-97.0584,52.41,30,0,4.61,clear sky
73,Cap-Aux-Meules,CA,47.3821,-61.8597,33.85,86,100,24.16,overcast clouds
74,Price,US,39.5994,-110.8107,61.86,14,0,8.05,clear sky
75,Caborca,MX,30.5838,-111.101,80.87,8,6,13.58,clear sky
76,Montrose,US,38.4166,-108.2673,51.21,39,7,2.37,clear sky
77,Grand Forks,US,47.9417,-97.4337,32.79,75,0,8.05,clear sky
78,Brainerd,US,46.358,-94.2008,37.06,38,0,8.05,clear sky
79,Valley,US,45.1277,-116.1262,45.21,61,99,4.94,overcast clouds
80,Harrisburg,US,40.2737,-76.8844,46.58,87,100,4.61,overcast clouds
81,Rolla,US,37.9514,-91.7713,37.85,74,100,5.75,overcast clouds
82,Jackson,US,42.4165,-122.8345,57.07,42,0,16.11,clear sky
83,Houlton,US,46.1262,-67.8403,39.61,87,100,0.0,mist
84,Garden City,US,42.3256,-83.331,43.83,81,100,13.8,overcast clouds
85,Evansville,US,37.9748,-87.5558,40.21,81,100,11.5,overcast clouds
86,Mountain Home,US,43.133,-115.6912,67.48,100,0,13.8,clear sky
87,Arvin,US,35.2091,-118.8284,88.86,38,3,6.15,clear sky
88,Payson,US,40.0444,-111.7321,64.38,27,75,6.91,broken clouds
89,Cabano,PH,10.5869,122.7002,80.89,73,99,8.95,light rain
90,Newnan,US,33.3807,-84.7997,48.15,51,100,9.22,overcast clouds
91,Winnemucca,US,40.973,-117.7357,71.65,15,0,12.66,clear sky
92,Souris,CA,49.6172,-100.2612,39.06,53,10,8.95,clear sky
93,Ledyard,US,41.4398,-72.0142,50.5,74,0,0.0,clear sky
94,Chillicothe,US,39.3331,-82.9824,41.25,83,100,9.22,light rain
95,Havelock,US,34.8791,-76.9013,62.96,59,0,8.05,clear sky
96,Dickinson,US,29.4608,-95.0513,69.75,36,0,6.91,clear sky
97,Americus,US,32.0724,-84.2327,57.33,41,100,17.27,overcast clouds
98,Toppenish,US,46.3774,-120.3087,51.8,43,63,18.75,broken clouds
99,Bemidji,US,47.4736,-94.8803,35.37,51,0,4.61,clear sky
100,Torrington,US,41.8007,-73.1212,52.34,74,4,2.35,clear sky
101,Glendive,US,47.1053,-104.7125,56.82,35,0,6.91,clear sky
102,Chapleau,CA,47.8405,-83.4034,27.27,96,100,6.11,overcast clouds
103,Rogers,US,36.3668,-95.5836,51.12,53,0,3.44,clear sky
104,Midland,US,31.9974,-102.0779,66.25,12,0,5.75,clear sky
105,Maplewood,US,44.953,-92.9952,40.71,42,0,12.66,clear sky
106,Lac-Au-Saumon,CA,48.421,-67.3476,34.75,94,100,13.69,light snow
107,Nantucket,US,41.2835,-70.0995,48.31,92,0,8.05,clear sky
108,North Las Vegas,US,36.1989,-115.1175,87.22,9,0,5.75,clear sky
109,Valley City,US,46.9233,-98.0032,36.12,48,0,0.0,clear sky
110,Bath,GB,51.3779,-2.3591,40.77,88,3,4.14,clear sky
111,Lake City,US,30.1897,-82.6393,60.51,62,0,5.75,clear sky
112,Roanoke,US,37.271,-79.9414,43.79,81,75,8.05,broken clouds
113,Martinsville,US,36.6915,-79.8725,47.17,59,100,4.61,overcast clouds
114,Speedway,US,39.8023,-86.2672,40.44,84,100,16.11,light rain
115,Apache Junction,US,33.4151,-111.5496,89.26,7,0,6.91,clear sky
