City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Khatanga,RU,2022-04-03 23:45:46,71.9667,102.5,-29.33,100,98,1.86
1,Hobart,AU,2022-04-03 23:37:37,-42.8794,147.3294,61.27,87,75,10.36
2,Phu Ly,VN,2022-04-03 23:45:47,20.5411,105.9139,62.94,68,34,2.06
3,Castro,BR,2022-04-03 23:42:49,-24.7911,-50.0119,62.96,95,84,5.01
4,Cape Town,ZA,2022-04-03 23:38:06,-33.9258,18.4232,62.11,90,20,5.99
5,Beaupre,CA,2022-04-03 23:45:35,47.0443,-70.8953,41.81,80,100,1.14
6,Tasiilaq,GL,2022-04-03 23:39:35,65.6145,-37.6368,23.16,94,96,7.45
7,Rodrigues Alves,BR,2022-04-03 23:45:48,-7.738,-72.6509,77.2,86,77,2.98
8,Samana,DO,2022-04-03 23:45:48,19.2056,-69.3369,80.56,84,70,6.6
9,Hermanus,ZA,2022-04-03 23:39:39,-34.4187,19.2345,57.79,90,20,4.54
10,Rikitea,PF,2022-04-03 23:38:01,-23.1203,-134.9692,76.95,67,59,10.16
11,Lavrentiya,RU,2022-04-03 23:45:49,65.5833,-171.0,-2.58,81,12,11.3
12,Hanzhong,CN,2022-04-03 23:45:50,33.0728,107.0303,59.63,56,100,1.28
13,Mitchell,US,2022-04-03 23:45:50,43.7094,-98.0298,46.38,53,0,25.32
14,Trairi,BR,2022-04-03 23:45:51,-3.2778,-39.2689,75.24,95,45,6.98
15,Abha,SA,2022-04-03 23:45:00,18.2164,42.5053,60.62,33,0,0.0
16,Iskilip,TR,2022-04-03 23:45:52,40.7353,34.4739,46.02,63,100,2.98
17,Kapaa,US,2022-04-03 23:38:20,22.0752,-159.319,82.38,74,40,18.41
18,Albany,US,2022-04-03 23:35:30,42.6001,-73.9662,38.75,89,100,4.97
19,Kavieng,PG,2022-04-03 23:36:22,-2.5744,150.7967,83.14,69,98,4.25
20,Tuktoyaktuk,CA,2022-04-03 23:45:53,69.4541,-133.0374,-16.6,76,20,5.75
21,Erenhot,CN,2022-04-03 23:45:53,43.6475,111.9767,44.56,26,59,9.22
22,Ushuaia,AR,2022-04-03 23:39:25,-54.8,-68.3,37.06,93,40,24.16
23,Vao,NC,2022-04-03 23:45:54,-22.6667,167.4833,79.3,87,68,17.07
24,Egvekinot,RU,2022-04-03 23:36:55,66.3167,-179.1667,-6.41,82,54,16.44
25,Saskylakh,RU,2022-04-03 23:45:55,71.9167,114.0833,-4.97,97,100,11.54
26,Beringovskiy,RU,2022-04-03 23:45:55,63.05,179.3167,1.38,74,50,18.14
27,Bluff,NZ,2022-04-03 23:38:17,-46.6,168.3333,58.21,71,75,9.91
28,Pambujan,PH,2022-04-03 23:45:56,12.5642,124.9276,79.57,89,90,10.71
29,Hualmay,PE,2022-04-03 23:45:57,-11.0964,-77.6139,69.48,84,17,9.93
30,Burns Lake,CA,2022-04-03 23:45:57,54.2331,-125.7533,42.22,40,94,10.69
31,A Coruna,ES,2022-04-03 23:45:58,43.3713,-8.396,45.79,69,20,5.75
32,Pevek,RU,2022-04-03 23:45:55,69.7008,170.3133,-7.76,88,17,2.51
33,Binzhou,CN,2022-04-03 23:45:58,37.3667,118.0167,56.53,50,0,11.88
34,Nikolskoye,RU,2022-04-03 23:45:59,59.7035,30.7861,28.8,94,38,4.21
35,Mataura,NZ,2022-04-03 23:38:20,-46.1927,168.8643,62.65,56,72,1.34
36,Ambilobe,MG,2022-04-03 23:45:59,-13.2,49.05,72.05,96,88,2.33
37,Chokurdakh,RU,2022-04-03 23:38:21,70.6333,147.9167,-6.0,95,81,3.42
38,Acapulco,MX,2022-04-03 23:46:00,16.8634,-99.8901,80.55,61,37,9.64
39,Kushmurun,KZ,2022-04-03 23:46:00,52.4503,64.6311,37.38,82,98,12.44
40,Lebu,CL,2022-04-03 23:46:01,-37.6167,-73.65,53.58,75,0,20.47
41,Jamestown,US,2022-04-03 23:35:31,42.097,-79.2353,35.19,71,100,11.5
42,Salinopolis,BR,2022-04-03 23:46:02,-0.6136,-47.3561,79.16,85,84,8.23
43,Saint George,US,2022-04-03 23:45:59,37.1041,-113.5841,75.63,22,0,11.99
44,Puerto Ayora,EC,2022-04-03 23:46:02,-0.7393,-90.3518,76.55,94,74,8.99
45,Busselton,AU,2022-04-03 23:38:03,-33.65,115.3333,63.1,71,21,15.48
46,Shache,CN,2022-04-03 23:39:25,38.4167,77.2406,55.58,22,12,6.67
47,Punta Arenas,CL,2022-04-03 23:46:03,-53.15,-70.9167,41.11,75,40,17.27
48,Telemaco Borba,BR,2022-04-03 23:44:29,-24.3239,-50.6156,64.49,96,43,2.1
49,Alugan,PH,2022-04-03 23:47:04,12.2188,125.4808,80.69,84,89,12.62
50,Raudeberg,NO,2022-04-03 23:47:05,61.9875,5.1352,32.67,94,100,3.69
51,Barrow,US,2022-04-03 23:38:17,71.2906,-156.7887,-5.78,77,20,14.97
52,Thompson,CA,2022-04-03 23:47:05,55.7435,-97.8558,41.16,45,75,9.22
53,Mar Del Plata,AR,2022-04-03 23:47:06,-38.0023,-57.5575,57.87,60,0,13.8
54,Sitka,US,2022-04-03 23:47:07,57.0531,-135.33,39.09,81,75,13.8
55,Cajaruro,PE,2022-04-03 23:47:07,-5.7364,-78.4256,77.56,75,74,3.74
56,Butaritari,KI,2022-04-03 23:45:51,3.0707,172.7902,81.21,72,81,12.62
57,Pailon,BO,2022-04-03 23:47:08,-17.65,-62.75,80.28,70,1,5.5
58,Upernavik,GL,2022-04-03 23:47:08,72.7868,-56.1549,14.36,82,72,3.91
59,Buala,SB,2022-04-03 23:47:09,-8.145,159.5921,81.93,81,99,10.29
60,Chase,CA,2022-04-03 23:47:09,50.8165,-119.6857,57.15,80,94,4.63
61,Manaus,BR,2022-04-03 23:44:08,-3.1019,-60.025,79.29,94,75,1.14
62,Port Alfred,ZA,2022-04-03 23:45:58,-33.5906,26.891,66.18,90,92,7.0
63,Hithadhoo,MV,2022-04-03 23:38:18,-0.6,73.0833,82.69,69,25,5.08
64,Arona,ES,2022-04-03 23:47:11,28.0996,-16.681,59.83,76,75,20.71
65,Jeremie,HT,2022-04-03 23:47:11,18.65,-74.1167,78.15,81,68,4.36
66,Port Hardy,CA,2022-04-03 23:47:12,50.6996,-127.4199,44.78,81,75,11.5
67,Rayong,TH,2022-04-03 23:47:12,12.8333,101.4333,72.82,79,70,7.31
68,New Norfolk,AU,2022-04-03 23:38:21,-42.7826,147.0587,60.93,79,86,2.08
69,Qaanaaq,GL,2022-04-03 23:38:19,77.484,-69.3632,11.21,68,60,7.74
70,Machilipatnam,IN,2022-04-03 23:47:13,16.1667,81.1333,79.14,89,40,8.21
71,Panzhihua,CN,2022-04-03 23:45:32,26.5851,101.7128,63.09,64,96,1.19
72,Gravdal,NO,2022-04-03 23:47:14,68.1214,13.5031,30.79,69,92,24.29
73,Oussouye,SN,2022-04-03 23:47:15,12.485,-16.5469,69.98,77,83,12.5
74,Tuatapere,NZ,2022-04-03 23:47:15,-46.1333,167.6833,61.56,55,47,1.36
75,Mahebourg,MU,2022-04-03 23:45:54,-20.4081,57.7,79.25,83,40,11.5
76,Inuvik,CA,2022-04-03 23:47:16,68.3499,-133.7218,-10.34,67,75,9.22
77,Aklavik,CA,2022-04-03 23:47:17,68.2191,-135.0107,-5.06,86,100,11.27
78,Carnarvon,AU,2022-04-03 23:39:26,-24.8667,113.6333,75.27,88,4,6.91
79,Fairbanks,US,2022-04-03 23:42:41,64.8378,-147.7164,28.24,56,0,6.91
80,Ust-Barguzin,RU,2022-04-03 23:47:17,53.45,108.9833,17.49,81,94,4.09
81,Kudahuvadhoo,MV,2022-04-03 23:47:18,2.6708,72.8944,82.31,64,7,1.57
82,Masyaf,SY,2022-04-03 23:47:18,35.0653,36.3406,54.55,46,91,8.34
83,Codrington,AU,2022-04-03 23:47:19,-38.2667,141.9667,63.23,66,76,7.4
84,Waingapu,ID,2022-04-03 23:47:19,-9.6567,120.2641,79.77,73,56,3.15
85,Plainview,US,2022-04-03 23:47:20,40.7765,-73.4673,45.86,79,100,4.61
86,Kruisfontein,ZA,2022-04-03 23:44:18,-34.0033,24.7314,58.89,87,63,4.56
87,Berdigestyakh,RU,2022-04-03 23:47:21,62.0989,126.6992,21.04,94,100,8.32
88,Kodiak,US,2022-04-03 23:47:21,57.79,-152.4072,36.91,87,100,8.05
89,College,US,2022-04-03 23:47:22,64.8569,-147.8028,27.07,58,75,6.91
90,Lodja,CD,2022-04-03 23:47:22,-3.4833,23.4333,67.86,99,90,2.26
91,Inhambane,MZ,2022-04-03 23:47:12,-23.865,35.3833,76.05,73,7,9.57
92,Phangnga,TH,2022-04-03 23:47:23,8.4509,98.5298,77.04,94,92,3.11
93,Leningradskiy,RU,2022-04-03 23:47:24,69.3833,178.4167,-7.74,94,88,4.23
94,Atuona,PF,2022-04-03 23:48:24,-9.8,-139.0333,79.84,72,35,20.29
95,Providencia,MX,2022-04-03 23:48:24,28.7167,-111.5833,81.21,50,2,9.1
96,Namatanai,PG,2022-04-03 23:48:25,-3.6667,152.4333,84.27,71,93,5.03
97,Bage,BR,2022-04-03 23:48:25,-31.3314,-54.1069,64.18,100,20,4.61
98,Ancud,CL,2022-04-03 23:47:10,-41.8697,-73.8203,51.22,86,93,6.91
99,Bredasdorp,ZA,2022-04-03 23:48:26,-34.5322,20.0403,59.16,92,32,1.36
100,Bethel,US,2022-04-03 23:39:42,41.3712,-73.414,42.03,91,100,1.01
101,Juegang,CN,2022-04-03 23:48:27,32.3174,121.1855,52.99,64,39,7.14
102,Avarua,CK,2022-04-03 23:48:27,-21.2078,-159.775,78.85,83,20,6.91
103,Beppu,JP,2022-04-03 23:48:28,33.2736,131.4919,55.08,47,0,3.65
104,Hilo,US,2022-04-03 23:39:36,19.7297,-155.09,76.24,90,100,8.05
105,Ust-Karsk,RU,2022-04-03 23:48:29,52.7011,118.8077,24.3,37,13,9.48
